인증번호,소재지,품목,재배면적.제곱미터.,생산계획량.톤.
1015659,전라남도 해남군,배추,1593,17.98
1015659,전라남도 해남군,배추,2929,33.06
1015659,전라남도 해남군,배추,1372,15.48
1015659,전라남도 해남군,배추,1205,13.6
1015659,전라남도 해남군,배추,1183,13.35
1015659,전라남도 해남군,배추,1355,15.29
1015659,전라남도 해남군,배추,2979,33.62
1015660,전라남도 해남군,배추,433,4.89
1015660,전라남도 해남군,배추,2155,24.32
1015660,전라남도 해남군,배추,7359,83.05
1015660,전라남도 해남군,배추,2110,23.81
1015660,전라남도 해남군,배추,2644,29.84
1015660,전라남도 해남군,배추,1540,17.38
1015660,전라남도 해남군,배추,1408,15.89
1015660,전라남도 해남군,배추,10783,121.7
1015660,전라남도 해남군,배추,1669,18.84
1015660,전라남도 해남군,배추,971,10.96
1015660,전라남도 해남군,배추,1365,15.41
1015660,전라남도 해남군,배추,1268,14.31
1015660,전라남도 해남군,배추,1719,19.4
1015660,전라남도 해남군,배추,3051,34.43
1015660,전라남도 해남군,배추,1226,13.84
1015660,전라남도 해남군,배추,3312,37.38
1015660,전라남도 해남군,배추,700,7.9
1015661,전라남도 해남군,배추,1965,22.18
1015661,전라남도 해남군,배추,3938,44.44
1015662,전라남도 해남군,배추,2975,33.58
1015662,전라남도 해남군,배추,1217,13.74
1015662,전라남도 해남군,배추,802,9.05
1015662,전라남도 해남군,배추,482,5.44
1015662,전라남도 해남군,배추,2145,24.21
1015662,전라남도 해남군,배추,2097,23.67
1015662,전라남도 해남군,배추,1793,20.24
1015728,전라남도 해남군,배추,879,9.84
1015728,전라남도 해남군,배추,750,8.4
1015728,전라남도 해남군,배추,648,7.25
1015728,전라남도 해남군,배추,869,9.73
1015728,전라남도 해남군,배추,588,6.58
1015728,전라남도 해남군,배추,1051,11.77
1015728,전라남도 해남군,배추,1339,14.99
1015728,전라남도 해남군,배추,843,9.44
1015728,전라남도 해남군,배추,1339,1.1
1015728,전라남도 해남군,배추,682,0.67
1015728,전라남도 해남군,배추,869,1.47
1015728,전라남도 해남군,배추,588,1.12
1015728,전라남도 해남군,배추,1051,1.89
1015728,전라남도 해남군,배추,843,0.79
1015728,전라남도 해남군,배추,682,7.63
1015729,전라남도 해남군,배추,3203,35.87
1015730,전라남도 해남군,배추,192,2.93
1015730,전라남도 해남군,배추,1600,17.92
1015730,전라남도 해남군,배추,926,10.37
1015730,전라남도 해남군,배추,1232,13.79
1015731,전라남도 해남군,배추,2000,13.51
